user,user_followers,retweeted_user,text,retweeted_user_followers,sentiment,polarity,subjectivity,neg,neu,pos,compound
SharanskyWailer,646,nazihfares,'s another fact know countries like czechia honduras siding israel expec…,9089,positive,0.0,0.0,0.0,0.8,0.2,0.3612
merida_lina,299,DrTonyLeachon,vaccine hesitancy affected brand quality vaccines quality vaccine must t…,34518,negative,0.0,0.0,0.304,0.696,0.0,-0.3612
ISRAEL_APARICIO,223,doctormacias,covid la vacuna pfizer es más estable de lo que se creía la autoridad europea extiende de días un mes el período…,284187,neutral,0.0,0.0,0.0,1.0,0.0,0.0
khimjilal,0,rahulswarnkar4,covid vaccine sonusod cyclonetauktae india israel indiastandwithisrael farmers farmersprotest rea…,190,neutral,0.0,0.0,0.0,1.0,0.0,0.0
bubblytest,922,PaulRob11880584,morrison gave aussies choice vaccines rate would increase aussies ’ trust morrison wants us have…,352,positive,0.2,0.1,0.0,0.682,0.318,0.6808
Preciousmyheart,395,SteveDeaceShow,today 's podcast key study natural immunity vs vaccine immunity israel an…,91951,positive,0.05,0.7,0.0,0.815,0.185,0.3612
3rdcultureblah,232,wanderer_jasnah,remind everyone israel despite enough vaccines vaccinate everyone deliberately denying palest…,1994,negative,0.0,0.5,0.194,0.806,0.0,-0.34
fazirafah,142,belalabdelhaii,limiting access covid vaccine palestinians israel targeting covid testing lab gaza…,18,neutral,0.0,0.0,0.0,1.0,0.0,0.0
IsmeeSays,107,maanu_shareef,israel administering doses vaccine day dawn new year leading world vaccine roll…,1281,neutral,0.13636363636363635,0.45454545454545453,0.0,1.0,0.0,0.0
hobbitgirlali,34,blundypls,’ fund medical apaheid tell congress demand israeli government fulfill legal obligation provide th…,353,positive,0.1,0.1,0.094,0.629,0.277,0.4404
spizotfl,140,germanrlopez,'m skeptical people calling vaccine paspos fascist calling israel nationally run vaccine…,25422,negative,-0.5,0.5,0.371,0.629,0.0,-0.7096
pianoledge,1148,RealLifeJustMe2,htpstcohadild,3,neutral,0.0,0.0,0.0,1.0,0.0,0.0
mustaqeemansa14,185,LadyVelvet_HFQ,covid vaccine doses given per people israel uae chile uk us germany canada spain…,433684,neutral,0.0,0.0,0.0,1.0,0.0,0.0
therealden78,191,Ginella_M,coming canada tonight pm edt medical contributor weighs quebec 's plans reopen naci recommending…,22344,neutral,0.0,0.0,0.0,1.0,0.0,0.0
NandiniOomman,4232,AlbertBourla,new realworld data —a country population aprox times less us—suggest vaccina…,30854,neutral,-0.015151515151515152,0.2606060606060606,0.0,1.0,0.0,0.0
GeorgeHagstrom,573,wsbgnl,love see favorite bullshit get repeated national newspaper everyone remember israel uk purs…,1496,positive,0.5,0.8,0.181,0.476,0.343,0.5267
nazihah10195,14,ZZehraOfficial,pay get vaccinated beloved israel destroyed health ministry…,0,negative,0.7,1.0,0.357,0.388,0.256,-0.0772
Iamconcernedtoo,273,oGrandeAlberto,findings ipc genuine pfizer vaccine linked deaths israel astrazeneca ’ the…,366,neutral,0.4,0.5,0.0,1.0,0.0,0.0
Ina_de_Cuada,85,BLNewsMedia,coincidental vaccine deaths htpstcodskpexj,3112,neutral,0.0,0.0,0.0,1.0,0.0,0.0
GbabyOg,80,1eternalsage,us clearly supos genocide evidenced experimental vaccine supo israel,2300,positive,0.1,0.39166666666666666,0.0,0.748,0.252,0.4019
lucifertheloser,66,JxffreyP,comparing garbage garbage bidens vaccine rolout nice idk hes supoing israel…,41801,positive,0.6,1.0,0.106,0.682,0.212,0.34
TimSamko,432,AK4WA,right ’ unmask ’ vaccine paspos ’ colonial pipeline ’ abo…,8510,neutral,0.2857142857142857,0.5357142857142857,0.0,1.0,0.0,0.0
DraCoquiMD,2803,FutureDocs,timeline scotus threat reproductive rights un blocked calling israelpalestine ceasefire stop deadly ci…,39250,negative,-0.2,0.4,0.435,0.565,0.0,-0.7717
_Lettergirl,3436,GoodShepherd316,increase cyber attacks causing fuel food shoages increase antisemitism attacks israel new covid strai…,48304,negative,0.13636363636363635,0.45454545454545453,0.284,0.49,0.225,-0.296
zaynulabedeen,188,danyaqato,apologists israel 's racist vaccine rolout say asked ask you…,974,negative,0.0,0.0,0.308,0.692,0.0,-0.6124
exhaustedgolsa,1193,GissouNia,lament iranian human rights activist see vaccine money iranian people skies israel to…,12913,negative,0.0,0.1,0.2,0.8,0.0,-0.4588
XilaOffi,67,Apache79835552,htpstcotkelwcgk quand pense que ql semaines avant israël avait vaciné palestiniens le…,39,neutral,0.0,0.0,0.0,1.0,0.0,0.0
mvtribe,30,Thimarafushi,israel ge vaccine beynun kurane dhivehin neh nolheyne israel ge vaccine dhivehin beynun nukurumah govalan,40560,neutral,0.0,0.0,0.0,1.0,0.0,0.0
Lma201782,136,nasserbq,وجدت مقالة تحدث عن الابرة المعروضة فعلا كما ذكرت التعليقات انها الابرة الي تطعم بها htpstcoruepcobx,214,neutral,0.0,0.0,0.0,1.0,0.0,0.0
RyanKift,763,MihaiVioreanu,room vaccinate children time based call following values value cautio…,3829,positive,0.0,0.1,0.0,0.611,0.389,0.6249
EmmaRaczka,526,peterdonaghy,yesterday entire juvenile wales first dose covid vaccine oveaking…,5353,neutral,0.0,0.40277777777777773,0.0,1.0,0.0,0.0
ArzooAhmed,1515,ashleighfurlong,companies want help produce coronavirus vaccines vaccine developers ’ let biolyse canada…,2238,positive,0.0,0.0,0.0,0.692,0.308,0.4588
aboutism_what,69,SkyNewsAust,israel ’ covid vaccine rolout model example amid global efo fight pandemic many countries st…,537199,negative,0.25,0.25,0.167,0.833,0.0,-0.3818
pinkangel27,311,BreesAnna,please share israeli doctors use vaccine children israel national news htpstcolanypznw,84244,positive,0.0,0.0,0.0,0.667,0.333,0.5423
serbretas,2675,BrianMteleSUR,jair bolsonaro loves death genocidal policies indigenous tribes deliberate sabotage brazil 's publ…,9361,negative,0.0,0.0,0.348,0.476,0.176,-0.5574
bigpersonatalie,79,sarsouura_,israel targeting gaza ’ covid testing labs hospitals doctors charge covid response main hospital roads…,6891,neutral,0.16666666666666666,0.3333333333333333,0.0,1.0,0.0,0.0
couponpadawan,2479,eye_steal_memes,guess hamas creating new rona vaccine probably would justify htpstcomofkofmep,2824,positive,0.13636363636363635,0.45454545454545453,0.0,0.804,0.196,0.296
Gedanken_Denker,364,webspeech,die daten die nach und nach aus israel zusamengetragen werden bringen imer mehr interesante aspekte erst die ausagen d…,166,negative,0.0,0.0,0.422,0.578,0.0,-0.9136
cavanconor,320,StFilansDream,israel vaccinated almost palestinians offered vaccine gaza ’ coronavi…,7180,neutral,0.0,0.0,0.0,1.0,0.0,0.0
pplsartofwar,260,BP20185,one studies cite israel found individuals fully vaccinated the…,81,neutral,0.0,0.0,0.0,1.0,0.0,0.0
ForgedinFire20,1435,GazStationSushi,israel palestine gaza netanyahu blm covid coronavirus biden vaccine covid boebe gop gqp trump greenberg giu…,4150,neutral,0.0,0.0,0.0,1.0,0.0,0.0
lostnotfound404,406,futureman19,quantum computers cern fermilab los alamos nasa sophia ai antarctica covid nanotech vaccine israel etc the…,308,neutral,0.0,0.0,0.0,1.0,0.0,0.0
belladonnaflame,333,jonlevyBU,israel implement digital covid vaccine paspo system uk vaccine paspo built nhs ap…,4579,neutral,0.0,0.0,0.0,1.0,0.0,0.0
Marcberg12,13,julienbahloul,vaciné je crois ne pas avoir été ausi heureux depuis la victoire ’ israel à l ’ eurovision 🤩😁 vacin telaviv ht…,35245,neutral,0.0,0.0,0.0,1.0,0.0,0.0
Army_Of_Israel_,94,KevinKileyCA,twothirds californians supo proposal prohibit government vaccine paspo system according new berke…,48935,neutral,0.13636363636363635,0.45454545454545453,0.0,1.0,0.0,0.0
elleyaalla,21,EllE4AllA,frepalestine palestinianslivesmater humanrightswatch israelicrimes icisrael icc unsecuritycouncle saveshe…,2619,neutral,0.0,0.0,0.0,1.0,0.0,0.0
DaveyDankz,164,MimiRossiJ,biden claims catholic vaccine expo ban blocking un taking action amp letting israel flatten gaz…,645,negative,0.05,0.1,0.323,0.677,0.0,-0.7351
pajipargmailco2,893,EduardoLuger,disque israel modelo seguirpufs htpstcokicorjbu,2128,neutral,0.0,0.0,0.0,1.0,0.0,0.0
Dracarys1804,955,tathagat_Budha,palestinians wanted vaccine israel send bombs world conscious htpstcoaqpuwyea,1780,neutral,0.1,0.5,0.0,1.0,0.0,0.0
bo87844752,126,HendrikDeRyke,guess million going bankrupt anc communist failed regime south africa begging f…,2450,negative,-0.5,0.3,0.408,0.592,0.0,-0.7845
SelaReport,593,Eliezer99950105,summary israeli people 's committee 's database regarding adverse events related covid vaccine israe…,68,negative,0.0,0.4,0.161,0.839,0.0,-0.3612
StarColombo,2662,techoregon,israel 's covid vaccine rolout fastest country world join amp o…,8312,positive,0.0,0.0,0.0,0.82,0.18,0.296
StarColombo,2662,i24NEWS_EN,israel 's worldleading vaccine drive 'thanks technology really leadying way us ' michal seror he…,59442,positive,0.2,0.2,0.0,0.818,0.182,0.4404
sash_andy,3625,Ireland2020,findings ipc genuine pfizer vaccine linked deaths israel astrazeneca ’ whole…,3515,neutral,0.4,0.5,0.0,1.0,0.0,0.0
AhsanAlvi15,12947,kha9_94,israel needs another dose vaccine pakistandswithpalestine htpstcohqpoa,3554,neutral,0.0,0.0,0.0,1.0,0.0,0.0
politia1959,224,MarinerSilas,'s right vaccine paspo staed israel fascist racist terrorist state wants biometric ids total c…,335,negative,0.1619047619047619,0.4619047619047619,0.506,0.494,0.0,-0.9231
Berniceness,1277,7kidchaos,experimental vaccine death rate israel ’ elderly times higher covid deaths htpstcowzjzwuqnma,1805,negative,0.175,0.45,0.281,0.719,0.0,-0.5994
shahida_moosa,339,RajneetLamba,“ israel ’ discriminatory vaccination policy underscores repressive nature rule need international…,342,negative,0.0,0.0,0.211,0.789,0.0,-0.34
Banesa_Creative,3215,sindi_leigh,seem ever repoed palestine recent aicle israel praise v…,1418,positive,0.0,0.25,0.0,0.69,0.31,0.5574
Lame_Israel,1215,keyofamyjor,gets vaccine specifically infeility,2241,neutral,0.0,0.0,0.0,1.0,0.0,0.0
viralvideovlogs,6603,GazStationSushi,israel palestine jerusalem gaza netanyahu rockets blm covid coronavirus biden vaccine covid boebe gop gqp q…,4150,neutral,0.0,0.0,0.0,1.0,0.0,0.0
BarbariFarag,170,Raj_collage,'s keep privilege getting book first vaccine dose tomorrow israel continues to…,2116,positive,0.25,0.3333333333333333,0.0,0.815,0.185,0.3612
Nasso_Israel,170,SizweLo,impoant give pfizer covid vaccine allergic following hydroxybutylazan…,31394,negative,0.0,0.1,0.239,0.761,0.0,-0.296
jfeilders,281,BarbaraRKay,much valiant little norway atlantic crossing htpstcoekuwgxt,13919,neutral,0.0062500000000000056,0.35,0.0,1.0,0.0,0.0
RenuRaw52744459,15,vikassinghSrAdv,israel government bought vaccine double price justified saying extra money recovere…,67203,positive,0.13333333333333333,0.3333333333333333,0.0,0.787,0.213,0.4019
Rebecca94413105,95,SaraHaboubi1,htpstcoslmoyueb,7068,neutral,0.0,0.0,0.0,1.0,0.0,0.0
evaclar,233,emulenews,la efectividad de la vacuna de pfizer en israel está entre el el effectiveness twodose bntb vac…,38839,neutral,0.0,0.0,0.0,1.0,0.0,0.0
asdasd26700831,18,ThePrettyone07,magnets sticking oh wow staywoke nocap vaccinated vaccine covid israel htpstcozriahzvh,60,positive,0.1,1.0,0.0,0.725,0.275,0.5859
tomgreene2,4556,realtalk995,things end legislative session alabama democrats hate israel cdc vaccine guidance as…,7216,negative,-0.8,0.9,0.252,0.748,0.0,-0.5719
KathleenMarrio4,390,RepDonaldPayne,today hiv vaccine awareness day please go get tested essex county htpstcourdkmuoa union county …,28274,positive,0.0,0.0,0.0,0.85,0.15,0.3182
shawdy_israel,1018,UntamedVoice32,reason mfers still contract covid transmit others getting shot 's no…,505,neutral,0.0,0.0,0.0,1.0,0.0,0.0
DrBSTyagiArya,218,CaptAssamRegt,koyi bat nahin mishra ji israel make special patrakar gaza vaccine hey nah congrest…,844,positive,0.35714285714285715,0.5714285714285714,0.087,0.745,0.168,0.3182
therealeffzee,346,itranslate123,covid cases gaza thankfully 😍😘 finally israel sheer humanity selflessness decided gi…,7760,positive,0.0,0.875,0.0,0.797,0.203,0.4215
aimee60221197,2479,S1DGE78,’ aged wel yeh nah think ’ l leave 🤯htpstcoavfnxqsy,787,negative,-0.1,0.4,0.342,0.658,0.0,-0.1531
miriam_weiner,50,itsallgonemad,experimental vaccine death rate israel ’ elderly times higher covid deaths researchers news lifesit…,333,negative,0.175,0.45,0.245,0.755,0.0,-0.5994
MandysTake,1889,Ireland2020,findings ipc genuine pfizer vaccine linked deaths israe…,3515,neutral,0.4,0.5,0.0,1.0,0.0,0.0
Devendr79631325,830,divyaarorafd1,israel dega crore vaccine,852,neutral,0.0,0.0,0.0,1.0,0.0,0.0
aarmitage21,376,Reese777Rising,israeli people committee said pfizer shot never vaccine harmed many people…,4560,positive,0.5,0.5,0.0,0.797,0.203,0.3724
_ShotaManDown,3251,FloraBe24713480,back feb jewish friend mine living israel regular poster fb pfizer vaccine joked a…,1037,positive,0.0,0.025641025641025644,0.0,0.686,0.314,0.6705
ladacyn,532,TheLancet,new issue—on cover impact effectiveness mrna bntb vaccine sarscov infections co…,657961,neutral,0.13636363636363635,0.45454545454545453,0.0,1.0,0.0,0.0
Cuchulainn_32,220,speropatria,life videogame advance next level find easter eggs anti…,3389,neutral,0.0,0.0,0.0,1.0,0.0,0.0
TheDaleJackson,9867,yhn,end legislative session alabama democrats hate israel cdc vaccine guidance confusing peopl…,17608,negative,-0.55,0.65,0.359,0.641,0.0,-0.6808
YSFKHLIL,2545,LisaDaftari,remember cashstraped palestinians ca n't afford m…,55845,neutral,0.0,0.0,0.0,1.0,0.0,0.0
SharingUbuntu,1566,suhayllo,fascinating vaccine advocates health equity folks refuse implicate israel ’ vaccine apaheid palest…,2769,positive,0.7,0.8500000000000001,0.14,0.637,0.223,0.3182
maker_eu,1,Jerusalem_Post,contradicts claims made election campaign research development centers in…,523286,negative,0.0,0.0,0.231,0.769,0.0,-0.34
JewWishAshke,645,AliceDrori,testimony someone injured vaccine tens thousands like ht…,86,negative,0.0,0.0,0.241,0.536,0.223,-0.0516
JewWishAshke,645,DanielGinat,n't belive fraud literly control moality…,5172,positive,0.0,0.0,0.0,0.619,0.381,0.4717
JohnBro13002328,702,theweeflea,call prayer – ps augustine israel vaccine prayers htpstcopvijfncwzn,7942,neutral,0.0,0.0,0.0,1.0,0.0,0.0
radiosilznce,3779,alluringskull,beth israelahey clinic cambridge davis sq area taking walkins pfizer vaccine bring id i…,449,neutral,0.0,0.0,0.0,1.0,0.0,0.0
AyeshaK51186961,8,Abubakarjanjua5,israel virus needs another dose vaccine joebiden israelterorists haryana htpstcolgnlbzwa,100,neutral,0.0,0.0,0.0,1.0,0.0,0.0
Ireland2020,3515,SherryBellamy14,world wide cutoff vaccine deaths used pulled israel ministry health reasur…,100,neutral,-0.1,0.4,0.0,1.0,0.0,0.0
AviHein,3494,yaakovkatz,remember corona 's statement talks open plant israel apparently goin…,17181,neutral,0.025,0.425,0.0,1.0,0.0,0.0
Glasir_Grove,207,CathrynIsland,terrorists israeli government ’ pass also left palestinians to…,194,negative,0.0,0.0,0.369,0.631,0.0,-0.6249
nur_assyikin,558,atfrmlan,semalam terbaca post facebok yang mengatakan covid tu tipu sebab israel take sorang pakai mask diorang tak membaca ke yang…,545,neutral,0.0,0.0,0.0,1.0,0.0,0.0
Salma47260121,0,GQAbbasi,dear mrpresident battle n't using,1949,neutral,0.0,0.0,0.317,0.366,0.317,0.0
DevenPandey1,12,UnseemlyCurious,thank info know company products buy btw i…,25,positive,0.0,0.0,0.0,0.737,0.263,0.3612
NSEBSE3,130,Jerusalem_Post,• plans open pfizer research development center israel toplevel corporate spokeswoman wi…,523286,neutral,-0.03333333333333333,0.19999999999999998,0.0,1.0,0.0,0.0
martina_ant79,424,Ireland2020,israeli people committee ipc civilian body made leading israeli health expes published april repo…,3515,neutral,0.0,0.0,0.0,1.0,0.0,0.0
Frz74685870,1,zaulaikha_zaini,tips cari jodoh tanya kalau dia proflat eah tanya kalau dia antivacine tanya kalau dia pro israel laknatul…,500,neutral,0.0,0.0,0.0,1.0,0.0,0.0
beeshadraws,104,HaxenHammer,israel blocks shipment russian sputnik v vaccine gaza htpstcotomqbxoczc,1293,negative,0.0,0.0,0.213,0.787,0.0,-0.2263
annaeli67121669,46,DavidV5Goliath,believe vaccination either good bad fanatic believe either israel palestine evil fa…,3255,negative,-0.32499999999999996,0.7666666666666666,0.399,0.455,0.146,-0.7184
highlander_irl,896,Ireland2020,htpstcoefqjaqalxd,3515,neutral,0.0,0.0,0.0,1.0,0.0,0.0
enjoylonglove,2897,cliffemenike,second israel thoughit 's also impoant give credit credit due president signed o…,409,positive,-0.0625,0.1875,0.0,0.679,0.321,0.6369
syakirahsapie,456,haziqkoboilapar,siapa la bodoh post astrazeneca ni location kt israel sb tu xamik vacinethats kene belajar pandai educated…,95,neutral,0.0,0.0,0.0,1.0,0.0,0.0
GermanSeedMap,5,BarkowConsult,german vaccination update get excited iii compared best practice israel germany 's recent hike…,10682,positive,0.34375,0.325,0.0,0.645,0.355,0.765
VanGeerens,226,BehorizonOrg,eu foreign ministers discuss israelpalestine conflict tuesday croatia donates anticovid vaccine doses…,2120,negative,-0.125,0.125,0.173,0.827,0.0,-0.3182
