Date,State,Purpose,Amount_Requested,Risk_Score,Debt_Income_Ratio,Employment_Length
201501,NC,Debt_Consolidation,32000,680,0.2161,2
201501,GA,Credit_Card,21000,700,0.0531,11
201501,NJ,Credit_Card,15000,740,0.397,0
201501,OH,Credit_Card,26425,660,0.2763,11
201501,AZ,Debt_Consolidation,35000,665,0.2289,11
201501,FL,Debt_Consolidation,20000,665,0.1451,6
201501,CA,Credit_Card,15000,665,0.2435,2
201501,MI,Debt_Consolidation,21000,680,0.2464,9
201501,TX,Debt_Consolidation,12000,665,0.2877,2
201501,IL,Credit_Card,25000,720,0.281,11
201501,FL,Credit_Card,4500,660,0.3635,6
201501,OR,Debt_Consolidation,8000,705,0.1933,7
201501,IL,Debt_Consolidation,14900,680,0.2633,0
201501,FL,Debt_Consolidation,10000,715,0.2643,9
201501,IN,Other,8475,680,0.2254,6
201501,FL,Debt_Consolidation,10000,675,0.3072,5
201501,CA,Debt_Consolidation,8000,670,0.1824,11
201501,MI,Debt_Consolidation,12000,660,0.1977,6
201501,NY,Housing,10000,690,0.1374,11
201501,CA,Debt_Consolidation,4600,665,0.2527,1
201501,NY,Purchase,7125,710,0.3217,3
201501,MD,Debt_Consolidation,24000,720,0.1182,5
201501,FL,Credit_Card,28000,710,0.1528,11
201501,OK,Credit_Card,20000,715,0.227,11
201501,IN,Credit_Card,13500,665,0.1625,11
201501,NY,Credit_Card,24000,660,0.2514,3
201501,CA,Debt_Consolidation,24000,780,0.1206,2
201501,MN,Debt_Consolidation,20000,670,0.0732,11
201501,AL,Debt_Consolidation,12000,675,0.1064,11
201501,SC,Other,11425,665,0.1159,11
201501,GA,Debt_Consolidation,10000,665,0.2388,2
201501,NY,Other,24000,670,0.1421,1
201501,WA,Debt_Consolidation,10000,675,0.1399,11
201501,VA,Debt_Consolidation,7675,725,0.3044,3
201501,CA,Credit_Card,25000,715,0.1135,0
201501,MI,Debt_Consolidation,15000,700,0.1959,7
201501,CT,Debt_Consolidation,27850,685,0.1181,11
201501,VA,Credit_Card,11475,680,0.2756,9
201501,TX,Housing,8000,660,0.0504,8
201501,MA,Debt_Consolidation,18000,705,0.1837,11
201501,MO,Credit_Card,2000,680,0.3592,2
201501,OH,Debt_Consolidation,20000,685,0.3061,9
201501,NJ,Housing,10000,660,0.0341,11
201501,CA,Debt_Consolidation,35000,710,0.1841,2
201501,PA,Credit_Card,27200,670,0.2577,11
201501,MI,Debt_Consolidation,24000,670,0.1324,3
201501,CA,Debt_Consolidation,9500,665,0.271,11
201501,MA,Housing,35000,730,0.2963,4
201501,NV,Debt_Consolidation,8050,665,0.3351,2
201501,IL,Credit_Card,8500,680,0.228,3
201501,CT,Debt_Consolidation,5350,700,0.185,11
201501,CA,Credit_Card,21000,660,0.1822,0
201501,NC,Debt_Consolidation,18575,675,0.0809,2
201501,GA,Credit_Card,12800,690,0.3396,11
201501,NH,Debt_Consolidation,20000,725,0.1111,6
201501,OH,Debt_Consolidation,18000,675,0.2264,11
201501,MA,Debt_Consolidation,35000,685,0.2394,8
201501,AZ,Debt_Consolidation,18725,695,0.3542,1
201501,IL,Debt_Consolidation,17500,790,0.2008,0
201501,CA,Credit_Card,18000,700,0.1193,11
201501,OR,Debt_Consolidation,6050,690,0.12,3
201501,CA,Debt_Consolidation,3250,710,0.362,11
201501,CA,Other,18675,670,0.2075,11
201501,SC,Credit_Card,8000,710,0.0032,0
201501,TX,Debt_Consolidation,7200,670,0.0474,2
201501,IN,Housing,13375,710,0.3813,3
201501,TX,Debt_Consolidation,16000,710,0.3349,6
201501,IL,Purchase,3000,660,0.1962,4
201501,CA,Debt_Consolidation,6000,670,0.1819,9
201501,MI,Debt_Consolidation,35000,675,0.2106,4
201501,NJ,Debt_Consolidation,17000,690,0.1355,11
201501,TX,Other,10000,690,0.3593,11
201501,MO,Other,7000,680,0.3853,7
201501,TX,Debt_Consolidation,20000,720,0.1456,1
201501,NY,Debt_Consolidation,28000,680,0.1614,8
201501,KY,Housing,10000,760,0.2864,11
201501,GA,Credit_Card,9000,725,0.0279,11
201501,MA,Debt_Consolidation,5000,770,0.0953,3
201501,MI,Debt_Consolidation,14300,675,0.3427,11
201501,MA,Debt_Consolidation,12000,685,0.1519,2
201501,IL,Debt_Consolidation,6000,705,0.168,7
201501,MD,Credit_Card,5000,695,0.3237,7
201501,FL,Credit_Card,10000,680,0.1221,6
201501,AK,Housing,6875,710,0.3057,6
201501,CA,Debt_Consolidation,6000,690,0.2378,7
201501,VT,Debt_Consolidation,30000,715,0.2407,11
201501,MN,Debt_Consolidation,10000,700,0.1935,5
201501,FL,Other,6000,660,0.327,11
201501,AZ,Debt_Consolidation,14975,660,0.326,2
201501,VA,Debt_Consolidation,15000,660,0.3505,1
201501,NJ,Credit_Card,28000,710,0.0884,4
201501,SD,Credit_Card,10200,685,0.2308,0
201501,WI,Credit_Card,10000,660,0.178,2
201501,WV,Debt_Consolidation,20000,710,0.2825,8
201501,FL,Credit_Card,8000,665,0.3492,11
201501,TX,Debt_Consolidation,17000,665,0.1357,4
201501,NC,Housing,16000,710,0.3546,3
201501,GA,Debt_Consolidation,20000,670,0.358,11
201501,NM,Debt_Consolidation,8000,680,0.2865,11
201501,NY,Credit_Card,35000,705,0.149,11
201501,VA,Debt_Consolidation,6225,670,0.2825,4
201501,OR,Debt_Consolidation,14000,705,0.317,11
201501,MO,Debt_Consolidation,12000,660,0.2722,2
201501,NY,Debt_Consolidation,3000,730,0.1793,0
201501,NV,Debt_Consolidation,14975,690,0.15,3
201501,NY,Credit_Card,15000,660,0.3364,2
201501,TN,Debt_Consolidation,8000,660,0.0614,11
201501,CA,Debt_Consolidation,14350,705,0.2248,1
201501,UT,Debt_Consolidation,20000,670,0.0922,6
201501,TX,Credit_Card,13000,670,0.1702,0
201501,MO,Other,8000,680,0.3475,6
201501,TX,Debt_Consolidation,8700,690,0.1933,0
201501,NC,Other,25850,770,0.1585,3
201501,CA,Debt_Consolidation,13800,700,0.2127,11
201501,TX,Debt_Consolidation,25000,670,0.1135,11
201501,TX,Debt_Consolidation,12275,715,0.2294,11
201501,VA,Debt_Consolidation,10000,700,0.2232,2
201501,KY,Debt_Consolidation,35000,725,0.3434,11
201501,UT,Credit_Card,35000,685,0.3354,1
201501,NM,Debt_Consolidation,7500,705,0.2065,11
201501,NY,Debt_Consolidation,16000,685,0.0833,11
201501,NY,Debt_Consolidation,5000,685,0.212,11
201501,SC,Debt_Consolidation,18875,660,0.1634,1
201501,CA,Credit_Card,15000,750,0.0731,1
201501,TX,Debt_Consolidation,10000,690,0.1431,2
201501,TN,Debt_Consolidation,19200,680,0.2064,9
201501,NY,Debt_Consolidation,10400,660,0.2062,11
201501,AR,Debt_Consolidation,20475,685,0.3615,11
201501,CA,Debt_Consolidation,10500,725,0.2534,8
201501,NV,Debt_Consolidation,12000,665,0.2565,4
201501,TX,Debt_Consolidation,11500,695,0.2765,2
201501,TX,Debt_Consolidation,15000,670,0.1779,3
201501,CA,Debt_Consolidation,3500,685,0.1468,11
201501,NM,Debt_Consolidation,20000,690,0.2895,11
201501,NJ,Housing,18500,665,0.0838,7
201501,GA,Debt_Consolidation,10975,775,0.2809,11
201501,MO,Debt_Consolidation,12000,660,0.1699,11
201501,KS,Debt_Consolidation,7000,680,0.3058,3
201501,KS,Debt_Consolidation,10000,755,0.3286,9
201501,AZ,Housing,24000,690,0.1087,11
201501,NY,Debt_Consolidation,9000,665,0.2264,3
201501,HI,Debt_Consolidation,6800,670,0.0302,0
201501,AZ,Debt_Consolidation,7000,665,0.2961,6
201501,FL,Debt_Consolidation,20000,755,0.1637,3
201501,MI,Debt_Consolidation,10800,705,0.1874,11
201501,NY,Credit_Card,12000,665,0.127,3
201501,TX,Debt_Consolidation,5000,665,0.2002,3
201501,IN,Other,21000,680,0.195,5
201501,MA,Credit_Card,10000,665,0.2318,1
201501,TX,Debt_Consolidation,10000,680,0.1196,11
201501,NY,Credit_Card,12000,665,0.1629,5
201501,CA,Debt_Consolidation,25725,705,0.3715,11
201501,MD,Credit_Card,20000,690,0.2436,2
201501,TX,Credit_Card,13000,680,0.1268,0
201501,PA,Debt_Consolidation,21000,665,0.1229,11
201501,VA,Debt_Consolidation,18000,760,0.1658,4
201501,MN,Debt_Consolidation,15000,685,0.1459,8
201501,TX,Credit_Card,11000,685,0.2332,9
201501,VA,Debt_Consolidation,11175,685,0.3288,1
201501,VA,Debt_Consolidation,15000,720,0.189,2
201501,TX,Debt_Consolidation,7450,660,0.0917,3
201501,CA,Debt_Consolidation,7500,680,0.1481,11
201501,IN,Debt_Consolidation,35000,715,0.2211,11
201501,GA,Debt_Consolidation,13000,660,0.2242,2
201501,TX,Credit_Card,20000,700,0.1146,8
201501,NY,Debt_Consolidation,11850,660,0.1904,11
201501,FL,Credit_Card,7500,670,0.2071,5
201501,VA,Other,14275,670,0.084,3
201501,CA,Debt_Consolidation,8500,685,0.1206,1
201501,MI,Credit_Card,14300,665,0.1524,11
201501,IL,Debt_Consolidation,24000,695,0.1668,0
201501,PA,Credit_Card,6000,720,0.2033,3
201501,OR,Credit_Card,25000,700,0.1777,11
201501,NV,Debt_Consolidation,11900,725,0.3081,3
201501,VT,Credit_Card,35000,715,0.1794,8
201501,CO,Debt_Consolidation,10000,670,0.2718,0
201501,NJ,Credit_Card,8000,660,0.2238,1
201501,CA,Debt_Consolidation,11475,700,0.3493,5
201501,MS,Credit_Card,30000,700,0.1065,11
201501,MI,Credit_Card,18825,670,0.3663,11
201501,IN,Debt_Consolidation,7200,660,0.1687,8
201501,MD,Debt_Consolidation,6000,665,0.333,8
201501,CA,Housing,20000,815,0.0809,11
201501,NY,Debt_Consolidation,20000,690,0.2178,2
201501,TX,Debt_Consolidation,18500,675,0.0844,4
201501,CA,Credit_Card,5600,670,0.2787,11
201501,TN,Credit_Card,16000,725,0.1316,0
201501,FL,Debt_Consolidation,16000,665,0.1233,11
201501,SD,Debt_Consolidation,15000,750,0.0976,11
201501,NY,Debt_Consolidation,16600,710,0.2683,2
201501,CA,Debt_Consolidation,12000,685,0.2996,11
201501,TX,Debt_Consolidation,23600,665,0.1486,7
201501,MI,Debt_Consolidation,11875,725,0.336,11
201501,NC,Debt_Consolidation,16000,720,0.1354,11
201501,IN,Debt_Consolidation,8950,710,0.2023,6
201501,TX,Debt_Consolidation,7500,700,0.2273,2
201501,CA,Debt_Consolidation,15000,685,0.1713,6
201501,MD,Credit_Card,9000,670,0.1049,3
201501,CT,Debt_Consolidation,15000,680,0.2575,9
201501,LA,Credit_Card,7200,670,0.0773,3
201501,TX,Credit_Card,8400,745,0.3078,0
201501,NY,Debt_Consolidation,18000,685,0.174,5
201501,TX,Other,12750,690,0.1257,3
201501,AL,Credit_Card,5675,735,0.231,7
201501,NY,Debt_Consolidation,18000,690,0.196,11
201501,MI,Debt_Consolidation,19350,665,0.377,11
201501,MO,Debt_Consolidation,12000,675,0.2985,0
201501,CA,Debt_Consolidation,4000,685,0.13,5
201501,IN,Debt_Consolidation,10200,690,0.2572,4
201501,GA,Debt_Consolidation,16000,670,0.1401,11
201501,NY,Debt_Consolidation,27000,720,0.2144,11
201501,WA,Debt_Consolidation,13150,675,0.1483,11
201501,WI,Purchase,7000,710,0.2576,11
201501,TX,Credit_Card,20000,745,0.334,9
201501,OK,Debt_Consolidation,15000,670,0.2303,0
201501,WI,Debt_Consolidation,24525,745,0.2445,6
201501,NY,Debt_Consolidation,25000,705,0.1414,11
201501,TX,Debt_Consolidation,16475,685,0.3097,9
201501,WI,Credit_Card,9600,725,0.1744,5
201501,AZ,Debt_Consolidation,16000,710,0.2751,4
201501,NC,Debt_Consolidation,12000,660,0.1147,11
201501,NC,Housing,10000,660,0.1347,11
201501,FL,Other,2500,660,0.087,4
201501,TX,Debt_Consolidation,14000,715,0.1408,0
201501,NY,Credit_Card,15000,730,0.107,9
201501,MS,Debt_Consolidation,18000,660,0.3094,2
201501,CA,Debt_Consolidation,6000,685,0.1242,1
201501,NC,Debt_Consolidation,28000,695,0.2279,11
201501,CO,Purchase,3100,680,0.0652,3
201501,KS,Debt_Consolidation,7000,700,0.1438,8
201501,KS,Debt_Consolidation,11450,705,0.3933,0
201501,IL,Credit_Card,12000,680,0.1014,11
201501,IL,Debt_Consolidation,2000,665,0.1736,11
201501,IL,Credit_Card,6100,690,0.0884,11
201501,IN,Debt_Consolidation,35000,730,0.2378,11
201501,TN,Debt_Consolidation,28000,745,0.256,3
201501,CA,Housing,20000,660,0.0306,11
201501,CA,Credit_Card,7850,670,0.1615,3
201501,OH,Debt_Consolidation,13675,725,0.1688,7
201501,TX,Debt_Consolidation,20000,700,0.3253,1
201501,IN,Housing,7000,665,0.109,11
201501,MA,Debt_Consolidation,21000,735,0.1315,11
201501,CA,Credit_Card,14000,700,0.1751,11
201501,VA,Debt_Consolidation,18000,770,0.0674,2
201501,FL,Credit_Card,15000,715,0.2827,11
201501,NJ,Debt_Consolidation,19200,705,0.2626,1
201501,GA,Debt_Consolidation,15000,710,0.1725,11
201501,OK,Debt_Consolidation,12600,685,0.1384,1
201501,CA,Debt_Consolidation,9600,670,0.3194,4
201501,HI,Housing,14400,675,0.1903,3
201501,MI,Credit_Card,7600,705,0.28,8
201501,NY,Debt_Consolidation,5000,770,0.1781,5
201501,OH,Debt_Consolidation,7225,710,0.1903,2
201501,TN,Debt_Consolidation,18000,725,0.1251,7
201501,IN,Other,7525,665,0.0383,11
201501,TX,Debt_Consolidation,8700,675,0.2103,11
201501,WI,Debt_Consolidation,25725,715,0.1344,11
201501,NJ,Debt_Consolidation,16000,715,0.2071,3
201501,CA,Credit_Card,23325,690,0.2262,11
201501,CA,Purchase,2100,740,0.0375,1
201501,PA,Debt_Consolidation,11000,670,0.2156,5
201501,KS,Debt_Consolidation,20000,690,0.205,11
201501,CO,Debt_Consolidation,11200,670,0.1934,3
201501,OH,Credit_Card,18000,760,0.2228,2
201501,CA,Other,14900,675,0.0428,11
201501,CA,Debt_Consolidation,11200,660,0.0701,8
201501,CA,Debt_Consolidation,10000,680,0.2386,9
201501,AR,Housing,3000,700,0.2499,11
201501,MA,Debt_Consolidation,24000,675,0.1692,11
201501,CA,Credit_Card,15600,690,0.2501,2
201501,MS,Debt_Consolidation,35000,685,0.1816,3
201501,FL,Debt_Consolidation,18000,695,0.3493,8
201501,PA,Debt_Consolidation,25600,715,0.2118,2
201501,IN,Housing,4800,670,0.2107,11
201501,MA,Debt_Consolidation,20000,690,0.2825,4
201501,TX,Debt_Consolidation,27000,785,0.1046,11
201501,GA,Purchase,3500,665,0.1634,7
201501,CA,Debt_Consolidation,19000,705,0.2075,11
201501,FL,Credit_Card,32000,680,0.2308,3
201501,CA,Debt_Consolidation,10000,710,0.2847,0
201501,FL,Debt_Consolidation,1800,695,0.0412,3
201501,IL,Credit_Card,15000,685,0.3487,11
201501,MO,Debt_Consolidation,13075,660,0.1355,11
201501,TX,Debt_Consolidation,9000,690,0.3144,8
201501,GA,Debt_Consolidation,1500,665,0.2909,2
201501,OH,Debt_Consolidation,8000,695,0.123,4
201501,VA,Other,8950,690,0.0446,11
201501,OK,Debt_Consolidation,22000,665,0.0971,11
201501,FL,Debt_Consolidation,10500,755,0.1684,3
201501,NC,Credit_Card,21000,715,0.3496,0
201501,IL,Debt_Consolidation,10000,670,0.1515,3
201501,TX,Credit_Card,12000,680,0.1322,7
201501,NC,Credit_Card,10000,705,0.2641,3
201501,SC,Credit_Card,24000,685,0.2744,3
201501,AK,Debt_Consolidation,9500,715,0.2893,6
201501,VA,Other,28000,680,0.3039,6
201501,NY,Debt_Consolidation,4000,675,0.2013,7
201501,TN,Credit_Card,19000,690,0.14,0
201501,WA,Debt_Consolidation,4375,665,0.1465,11
201501,CA,Credit_Card,21000,705,0.2613,11
201501,IN,Debt_Consolidation,2000,715,0.274,11
201501,MD,Debt_Consolidation,8400,660,0.2934,11
201501,MA,Debt_Consolidation,8000,685,0.2034,5
201501,NJ,Other,6000,670,0.2311,6
201501,AR,Debt_Consolidation,15000,695,0.228,1
201501,AZ,Debt_Consolidation,25000,680,0.289,11
201501,SC,Debt_Consolidation,12800,710,0.1627,9
201501,CA,Credit_Card,6600,660,0.1833,5
201501,IL,Credit_Card,25000,690,0.1746,11
201501,NY,Debt_Consolidation,35000,700,0.2071,11
201501,MA,Debt_Consolidation,8000,725,0.1369,7
201501,NC,Debt_Consolidation,4000,665,0.1173,11
201501,VA,Debt_Consolidation,7800,675,0.025,11
201501,FL,Housing,12000,685,0.3573,5
201501,CA,Debt_Consolidation,6000,690,0.1824,1
201501,NJ,Other,8000,665,0.2059,1
201501,CA,Debt_Consolidation,20000,675,0.1965,8
201501,MI,Debt_Consolidation,14775,695,0.3435,11
201501,VA,Debt_Consolidation,12200,685,0.0783,3
201501,MA,Debt_Consolidation,16000,710,0.3356,1
201501,CA,Debt_Consolidation,24000,700,0.1032,7
201501,GA,Debt_Consolidation,20000,690,0.1749,4
201501,FL,Debt_Consolidation,19300,680,0.0536,9
201501,VA,Debt_Consolidation,21000,665,0.037,2
201501,OH,Credit_Card,12750,700,0.1336,7
201501,NY,Debt_Consolidation,35000,705,0.1736,7
201501,FL,Credit_Card,27000,665,0.2333,11
201501,FL,Credit_Card,7000,685,0.2853,1
201501,MI,Housing,5300,680,0.0886,11
201501,NY,Debt_Consolidation,10000,695,0.332,11
201501,FL,Other,24250,760,0.2628,11
201501,OR,Credit_Card,17000,705,0.3228,4
201501,FL,Credit_Card,28000,730,0.1363,11
201501,CA,Credit_Card,6000,685,0.1775,11
201501,OH,Other,3000,735,0.0384,11
201501,WI,Debt_Consolidation,4800,665,0.2678,2
201501,AL,Debt_Consolidation,12000,715,0.0744,5
201501,NY,Debt_Consolidation,22750,720,0.1075,11
201501,CA,Debt_Consolidation,25000,685,0.2234,11
201501,CA,Debt_Consolidation,16000,675,0.2296,0
201501,GA,Debt_Consolidation,7000,705,0.2816,11
201501,LA,Other,8000,740,0.2711,11
201501,VA,Other,11000,710,0.3252,11
201501,CA,Debt_Consolidation,12000,700,0.1586,11
201501,FL,Debt_Consolidation,12600,660,0.3921,11
201501,NY,Credit_Card,8000,675,0.0949,5
201501,CA,Debt_Consolidation,11650,705,0.2182,2
201501,CO,Credit_Card,14000,665,0.3044,11
201501,CO,Debt_Consolidation,12000,700,0.2,2
201501,IN,Credit_Card,25000,710,0.1468,0
201501,NC,Debt_Consolidation,17225,695,0.1565,11
201501,NY,Credit_Card,30000,670,0.0791,7
201501,TX,Debt_Consolidation,20000,675,0.1403,11
201501,FL,Debt_Consolidation,20000,730,0.109,6
201501,NJ,Debt_Consolidation,8075,700,0.1647,11
201501,NV,Debt_Consolidation,2400,690,0.3167,2
201501,FL,Credit_Card,3600,715,0.0756,11
201501,VA,Debt_Consolidation,16000,675,0.2189,3
201501,MT,Debt_Consolidation,19525,690,0.2706,11
201501,NY,Credit_Card,20000,675,0.1781,7
201501,MI,Debt_Consolidation,26450,685,0.2283,11
201501,OK,Debt_Consolidation,3000,700,0.3549,1
201501,MD,Housing,15000,665,0.0484,11
201501,TX,Debt_Consolidation,20000,705,0.1689,2
201501,OK,Debt_Consolidation,25000,670,0.1305,11
201501,OH,Debt_Consolidation,20000,690,0.1589,7
201501,FL,Debt_Consolidation,9875,690,0.3165,1
201501,OR,Debt_Consolidation,20000,690,0.1351,8
201501,DC,Debt_Consolidation,26600,680,0.1809,0
201501,NJ,Debt_Consolidation,5000,705,0.1385,0
201501,CO,Credit_Card,28000,720,0.1409,11
201501,FL,Debt_Consolidation,6700,660,0.1349,8
201501,MD,Debt_Consolidation,4000,685,0.3018,11
201501,MS,Housing,1800,665,0.2046,4
201501,CA,Debt_Consolidation,18000,695,0.1811,5
201501,VA,Other,9600,680,0.1243,11
201501,CA,Debt_Consolidation,11775,680,0.3024,11
201501,CT,Debt_Consolidation,30000,670,0.2168,1
201501,MO,Debt_Consolidation,15000,670,0.2284,3
201501,RI,Debt_Consolidation,18000,775,0.2708,0
201501,MO,Debt_Consolidation,28000,760,0.1071,1
201501,MS,Credit_Card,12000,665,0.2426,11
201501,FL,Debt_Consolidation,5000,665,0.1726,11
201501,MA,Debt_Consolidation,15000,665,0.085,11
201501,NY,Debt_Consolidation,12800,670,0.2096,7
201501,NJ,Debt_Consolidation,7500,660,0.0754,2
201501,UT,Debt_Consolidation,12000,720,0.285,1
201501,OR,Credit_Card,16000,675,0.1133,2
201501,TX,Other,18725,730,0.2456,0
201501,GA,Credit_Card,10450,675,0.0926,11
201501,AZ,Housing,35000,690,0.0708,1
201501,MD,Debt_Consolidation,6900,705,0.202,3
201501,NY,Other,8000,710,0.2593,11
201501,SC,Debt_Consolidation,4800,665,0.0946,4
201501,NY,Other,10000,690,0.2383,9
201501,FL,Credit_Card,28000,715,0.1665,11
201501,WA,Debt_Consolidation,10000,685,0.2633,0
201501,VA,Credit_Card,18000,715,0.2626,2
201501,NY,Debt_Consolidation,12000,670,0.0672,5
201501,MN,Debt_Consolidation,24600,740,0.1897,8
201501,NC,Debt_Consolidation,11000,685,0.1807,1
201501,WA,Debt_Consolidation,16000,695,0.2368,11
201501,TX,Debt_Consolidation,29500,730,0.2996,6
201501,NJ,Debt_Consolidation,28000,740,0.1449,11
201501,CA,Debt_Consolidation,12000,710,0.0617,2
201501,VT,Debt_Consolidation,11200,670,0.1133,8
201501,MD,Credit_Card,12000,665,0.0742,0
201501,NC,Housing,35000,795,0.0719,4
201501,PA,Credit_Card,23600,695,0.2526,6
201501,OK,Credit_Card,15000,670,0.2136,11
201501,NY,Credit_Card,27125,700,0.3155,11
201501,VA,Debt_Consolidation,35000,700,0.1812,11
201501,CT,Credit_Card,11000,660,0.0611,6
201501,CT,Debt_Consolidation,21600,675,0.2556,0
201501,WA,Credit_Card,4500,705,0.1385,0
201501,OK,Debt_Consolidation,17200,685,0.2633,11
201501,CA,Debt_Consolidation,9000,675,0.2344,4
201501,FL,Debt_Consolidation,35000,675,0.1717,1
201501,NV,Other,7200,680,0.1242,5
201501,MN,Debt_Consolidation,35000,675,0.2778,11
201501,MA,Debt_Consolidation,25000,715,0.2393,11
201501,NY,Debt_Consolidation,12000,665,0.2654,11
201501,TX,Credit_Card,11200,695,0.3795,5
201501,AL,Debt_Consolidation,7350,660,0.3837,0
201501,NJ,Debt_Consolidation,6000,660,0.065,11
